Doc name,Category
Orientation & Program Maps,Core
Tool Access/Policy Matrix,Core
Agent Scaffold,Resources
Context Dictionary,Resources
Diagnostic,Resources
AI Twins,Resources
Revenue Spine - Lead Generation,Playbooks
Revenue Spine - Reactivation,Playbooks
Revenue Spine - Proposal Acceleration,Playbooks
Revenue Spine - Blind Spots (Ops Audit),Playbooks
Standard Operating Procedures (SOPs),Playbooks
Lab Cards,Asset Labs
Agent Cards,Asset Labs
Run Cards,Asset Labs
Agentic Workbench,Prompt Vault
Offer Mapper,Prompt Vault
NicheSnap (ICP Brief Builder),Prompt Vault
